Year,Institute,Branch,Category,Opening_Rank,Closing_Rank,Quota
2020,NIT Trichy,Computer Science and Engineering,General,2830,4601,Other State
2020,NIT Trichy,Computer Science and Engineering,OBC-NCL,1055,1833,Other State
2020,NIT Trichy,Computer Science and Engineering,SC,734,1814,Other State
2020,NIT Trichy,Computer Science and Engineering,ST,577,1330,Other State
2020,NIT Trichy,Computer Science and Engineering,EWS,977,2157,Other State
2020,NIT Trichy,Computer Science and Engineering,PwD,140,1339,Other State
2020,NIT Trichy,Electronics and Communication Engineering,General,5553,7402,Other State
2020,NIT Trichy,Electronics and Communication Engineering,OBC-NCL,2436,3615,Other State
2020,NIT Trichy,Electronics and Communication Engineering,SC,1330,2938,Other State
2020,NIT Trichy,Electronics and Communication Engineering,ST,971,1682,Other State
2020,NIT Trichy,Electronics and Communication Engineering,EWS,1796,2679,Other State
2020,NIT Trichy,Electronics and Communication Engineering,PwD,35,876,Other State
2020,NIT Trichy,Electrical Engineering,General,9602,10945,Other State
2020,NIT Trichy,Electrical Engineering,OBC-NCL,3637,4556,Other State
2020,NIT Trichy,Electrical Engineering,SC,1938,3630,Other State
2020,NIT Trichy,Electrical Engineering,ST,1621,3487,Other State
2020,NIT Trichy,Electrical Engineering,EWS,3438,4243,Other State
2020,NIT Trichy,Electrical Engineering,PwD,1,1202,Other State
2020,NIT Trichy,Mechanical Engineering,General,9656,10692,Other State
2020,NIT Trichy,Mechanical Engineering,OBC-NCL,3711,5645,Other State
2020,NIT Trichy,Mechanical Engineering,SC,1905,3613,Other State
2020,NIT Trichy,Mechanical Engineering,ST,1606,2601,Other State
2020,NIT Trichy,Mechanical Engineering,EWS,3503,5073,Other State
2020,NIT Trichy,Mechanical Engineering,PwD,268,1271,Other State
2020,NIT Trichy,Civil Engineering,General,9321,10033,Other State
2020,NIT Trichy,Civil Engineering,OBC-NCL,3909,5069,Other State
2020,NIT Trichy,Civil Engineering,SC,1940,2711,Other State
2020,NIT Trichy,Civil Engineering,ST,1283,2720,Other State
2020,NIT Trichy,Civil Engineering,EWS,3326,3857,Other State
2020,NIT Trichy,Civil Engineering,PwD,56,1322,Other State
2020,NIT Trichy,Information Technology,General,2903,3923,Other State
2020,NIT Trichy,Information Technology,OBC-NCL,1078,1587,Other State
2020,NIT Trichy,Information Technology,SC,583,1587,Other State
2020,NIT Trichy,Information Technology,ST,499,1434,Other State
2020,NIT Trichy,Information Technology,EWS,907,1559,Other State
2020,NIT Trichy,Information Technology,PwD,1,1417,Other State
2020,NIT Surathkal,Computer Science and Engineering,General,3006,4631,Other State
2020,NIT Surathkal,Computer Science and Engineering,OBC-NCL,1180,2894,Other State
2020,NIT Surathkal,Computer Science and Engineering,SC,586,1648,Other State
2020,NIT Surathkal,Computer Science and Engineering,ST,518,2122,Other State
2020,NIT Surathkal,Computer Science and Engineering,EWS,1179,2790,Other State
2020,NIT Surathkal,Computer Science and Engineering,PwD,21,624,Other State
2020,NIT Surathkal,Electronics and Communication Engineering,General,5770,7389,Other State
2020,NIT Surathkal,Electronics and Communication Engineering,OBC-NCL,2458,4179,Other State
2020,NIT Surathkal,Electronics and Communication Engineering,SC,940,2446,Other State
2020,NIT Surathkal,Electronics and Communication Engineering,ST,1032,1698,Other State
2020,NIT Surathkal,Electronics and Communication Engineering,EWS,1919,2731,Other State
2020,NIT Surathkal,Electronics and Communication Engineering,PwD,1,1942,Other State
2020,NIT Surathkal,Electrical Engineering,General,9550,10730,Other State
2020,NIT Surathkal,Electrical Engineering,OBC-NCL,3672,5336,Other State
2020,NIT Surathkal,Electrical Engineering,SC,1769,2530,Other State
2020,NIT Surathkal,Electrical Engineering,ST,1564,3395,Other State
2020,NIT Surathkal,Electrical Engineering,EWS,3369,5229,Other State
2020,NIT Surathkal,Electrical Engineering,PwD,1,1061,Other State
2020,NIT Surathkal,Mechanical Engineering,General,9375,10049,Other State
2020,NIT Surathkal,Mechanical Engineering,OBC-NCL,3708,4390,Other State
2020,NIT Surathkal,Mechanical Engineering,SC,1891,2455,Other State
2020,NIT Surathkal,Mechanical Engineering,ST,1561,3023,Other State
2020,NIT Surathkal,Mechanical Engineering,EWS,3395,5018,Other State
2020,NIT Surathkal,Mechanical Engineering,PwD,1,1364,Other State
